GROUP,DENSITY,npp,biodiv,pathos,ID,DENZ,ID2,biodivZ,nppZ,pathosZ
Gosiute Shoshoni,0.0167,689.046318,0.195516644,-0.835005907,HG,-0.620277778,0,-0.489166829,-0.568873269,-0.952841334
Cheyenne,0.0482,689.046318,0.18321,-0.75729704,HG,-0.532777778,0,-0.577071429,-0.568873269,-0.80622083
Nipigon Ojibwa,0.0087,690.218498,0.174823611,-0.930392472,HG,-0.6425,0,-0.636974207,-0.567171991,-1.132815985
Teton Lakota,0.0877,698.2348418,0.172560194,-0.902388367,HG,-0.423055556,0,-0.653141471,-0.55553724,-1.079978051
Yavapai,0.0148,699.7627066,0.251344286,-0.595698018,HG,-0.625555556,0,-0.090397957,-0.553319729,-0.501317015
Tanaina,0.0486,702.9474189,0.129140732,-0.936475322,HG,-0.531666667,0,-0.963280486,-0.548697505,-1.14429306
Alcatcho,0.075,709.3726625,0.209360648,-0.945009503,HG,-0.458333333,0,-0.390281086,-0.539372043,-1.160395289
Hukunduka Shoshoni,0.0296,713.4679326,0.226812266,-0.869971627,HG,-0.584444444,0,-0.265626671,-0.533428255,-1.018814391
Sekani,0.0082,715.8383336,0.159891322,-0.971352322,HG,-0.643888889,0,-0.743633414,-0.529987905,-1.210098721
Assiniboine,0.0321,718.018171,0.168555331,-0.961794512,HG,-0.5775,0,-0.681747636,-0.526824135,-1.192065117
Ute-timanogas,0.0347,719.532904,0.244404501,-0.844838334,HG,-0.570277778,0,-0.13996785,-0.524625684,-0.971393083
Arapahoe,0.075,719.532904,0.180393165,-0.80195283,HG,-0.458333333,0,-0.597191679,-0.524625684,-0.890477038
Ruby Valley Shoshoni,0.1379,721.0466315,0.205970142,-0.841014387,HG,-0.283611111,0,-0.414498986,-0.522428692,-0.964178089
Walbiri,0.0116,725.5817881,0.143592409,-0.332632607,HG,-0.634444444,0,-0.860054221,-0.515846461,-0.004967183
Thompson,0.332,727.0915005,0.222315476,-0.950375887,HG,0.255555556,0,-0.2977466,-0.513655297,-1.170520542
Bella-coola,0.13,735.4770841,0.210877461,-0.948525887,HG,-0.305555556,0,-0.379446707,-0.501484638,-1.167029975
Sarsi,0.0175,736.1287538,0.162334885,-0.977498938,HG,-0.618055556,0,-0.726179393,-0.500538819,-1.221696109
Wongaibon,0.0512,737.6314654,0.197489977,-0.451789249,HG,-0.524444444,0,-0.475071593,-0.498357815,-0.229791036
Honey Lake Paiute,0.106,739.1331794,0.229723308,-0.817494244,HG,-0.372222222,0,-0.244833514,-0.496178259,-0.91980046
Ona,0.0921,740.6338967,0.111853705,-0.801134998,HG,-0.410833333,0,-1.08675925,-0.49400015,-0.888933958
!Kung,0.066,742.1336178,0.270551481,-0.073538515,HG,-0.483333333,0,0.046796293,-0.491823487,0.483889594
Hai//Om,0.0384,743.6323435,0.299926711,0.012740624,HG,-0.56,0,0.256619364,-0.489648268,0.646680423
Flathead,0.015,746.626811,0.24778265,-0.935958934,HG,-0.625,0,-0.115838214,-0.485302161,-1.143318743
Nharo,0.125,748.1225541,0.221494353,-0.098115422,HG,-0.319444444,0,-0.303611764,-0.483131271,0.437518072
Kutenai,0.0201,749.6173044,0.253816106,-0.945653099,HG,-0.610833333,0,-0.0727421,-0.480961822,-1.161609621
Ualaria,0.09,752.6038292,0.1911424,-0.425031711,HG,-0.416666667,0,-0.520411429,-0.476627244,-0.179305115
Patwin,0.82,761.5396436,0.24810797,-0.776405452,HG,1.611111111,0,-0.1135145,-0.463657992,-0.842274438
Weagamon Ojibwa,0.0444,762.2224755,0.176451853,-0.97343963,HG,-0.543333333,0,-0.625343907,-0.462666944,-1.214037038
Djaru,0.0398,779.3048252,0.153283751,-0.2989028,HG,-0.556111111,0,-0.79083035,-0.437873984,0.058673962
Eyak,0.0586,782.6977078,0.114677647,-0.946546752,HG,-0.503888889,0,-1.066588236,-0.432949626,-1.163295758
Gitksan,0.2358,796.5439686,0.177770565,-0.959616086,HG,-0.011666667,0,-0.615924536,-0.412853456,-1.187954879
Chiricahua Apache,0.0116,804.2310839,0.206213823,-0.499358939,HG,-0.634444444,0,-0.412758407,-0.40169654,-0.319545168
Klamath,0.1336,805.6885905,0.24546274,-0.869820345,HG,-0.295555556,0,-0.132409,-0.399581146,-1.018528953
Aleut,0.5465,810.5456344,0.14084653,-0.906884834,HG,0.851388889,0,-0.879667643,-0.392531735,-1.088461951
Carrier,0.0759,817.6043111,0.188497724,-0.959181105,HG,-0.455833333,0,-0.539301971,-0.382286921,-1.18713416
Achumawi,0.1725,846.1083221,0.250170839,-0.842702477,HG,-0.1875,0,-0.098779721,-0.340916804,-0.967363164
Plains Ojibwa,0.0279,854.6723556,0.176155906,-0.930592527,HG,-0.589166667,0,-0.627457814,-0.328487147,-1.133193447
Uncompahgre Ute,0.0429,860.7539755,0.252729549,-0.778561471,HG,-0.5475,0,-0.080503221,-0.319660413,-0.846342398
Chichimec,0.09,864.6207007,0.299877067,-0.018746568,HG,-0.416666667,0,0.256264764,-0.31404833,0.587270626
Konaig,0.306,868.076536,0.123940767,-0.930377941,HG,0.183333333,0,-1.000423093,-0.309032604,-1.132788568
